h_name,a_name,h_score,a_score,h_min_a
NYG,ATL,20,24,-4
IND,NYJ,7,20,-13
KC,DEN,24,31,-7
CAR,HOU,24,17,7
CIN,SD,24,19,5
CLE,TEN,28,14,14
PHI,DAL,10,20,-10
GB,SEA,27,17,10
WAS,MIA,10,17,-7
NYJ,CLE,31,10,21
OAK,CIN,13,33,-20
BUF,NE,32,40,-8
CHI,ARI,23,48,-25
NYG,WAS,32,21,11
HOU,TB,19,9,10
MIN,SD,31,14,17
STL,PIT,6,12,-6
NE,JAC,51,17,34
BAL,CIN,24,28,-4
CLE,OAK,20,27,-7
TEN,IND,33,35,-2
ARI,SF,47,7,40
SEA,CHI,26,0,26
MIA,BUF,14,41,-27
CAR,NO,27,22,5
NYJ,PHI,17,24,-7
DAL,ATL,28,39,-11
