h_name,a_name,h_score,a_score,h_min_a
DEN,CAR,21,20,1
ATL,TB,24,31,-7
BAL,BUF,13,7,6
HOU,CHI,23,14,9
JAC,GB,23,27,-4
KC,SD,33,27,6
NO,OAK,34,35,-1
NYJ,CIN,22,23,-1
PHI,CLE,29,10,19
TEN,MIN,16,25,-9
SEA,MIA,12,10,2
DAL,NYG,19,20,-1
IND,DET,35,39,-4
ARI,NE,21,23,-2
WAS,PIT,16,38,-22
SF,LA,28,0,28
BUF,NYJ,31,37,-6
CAR,SF,46,27,19
CLE,BAL,20,25,-5
DET,TEN,15,16,-1
HOU,KC,19,12,7
NE,MIA,31,24,7
NYG,NO,16,13,3
PIT,CIN,24,16,8
WAS,DAL,23,27,-4
ARI,TB,40,7,33
LA,SEA,9,3,6
DEN,IND,34,20,14
OAK,ATL,28,35,-7
SD,JAX,38,14,24
MIN,GB,17,14,3
CHI,PHI,14,29,-15
NE,HOU,27,0,27
BUF,ARI,33,18,15
CAR,MIN,10,22,-12
CIN,DEN,17,29,-12
GB,DET,34,27,7
JAX,BAL,17,19,-2
MIA,CLE,30,24,6
NYG,WAS,27,29,-2
TEN,OAK,10,17,-7
SEA,SF,37,18,19
TB,LA,32,37,-5
PHI,PIT,34,3,31
IND,SD,26,22,4
KC,NYJ,24,3,21
DAL,CHI,31,17,14
NO,ATL,32,45,-13
CIN,MIA,22,7,15
JAX,IND,30,27,3
ATL,CAR,48,33,15
BAL,OAK,27,28,-1
CHI,DET,17,14,3
HOU,TEN,27,20,7
NE,BUF,0,16,-16
NYJ,SEA,17,27,-10
WAS,CLE,31,20,11
TB,DEN,7,27,-20
ARI,LA,13,17,-4
SD,NO,34,35,-1
SF,DAL,17,24,-7
PIT,KC,43,14,29
MIN,NYG,24,10,14
SF,ARI,21,33,-12
BAL,WAS,10,16,-6
CLE,NE,13,33,-20
DET,PHI,24,23,1
IND,CHI,29,23,6
MIA,TEN,17,30,-13
MIN,HOU,31,13,18
PIT,NYJ,31,13,18
DEN,ATL,16,23,-7
DAL,CIN,28,14,14
LA,BUF,19,30,-11
OAK,SD,34,31,3
GB,NYG,23,16,7
CAR,TB,14,17,-3
SD,DEN,21,13,8
BUF,SF,45,16,29
CHI,JAX,16,17,-1
DET,LA,31,28,3
MIA,PIT,30,15,15
NE,CIN,35,17,18
NO,CAR,41,38,3
NYG,BAL,27,23,4
TEN,CLE,28,26,2
WAS,PHI,27,20,7
OAK,KC,10,26,-16
GB,DAL,16,30,-14
SEA,ATL,26,24,2
HOU,IND,26,23,3
ARI,NYJ,28,3,25
GB,CHI,26,10,16
LA,NYG,10,17,-7
CIN,CLE,31,17,14
DET,WAS,20,17,3
JAX,OAK,16,33,-17
KC,NO,27,21,6
MIA,BUF,28,25,3
NYJ,BAL,24,16,8
PHI,MIN,21,10,11
TEN,IND,26,34,-8
ATL,SD,30,33,-3
SF,TB,17,34,-17
PIT,NE,16,27,-11
ARI,SEA,6,6,0
DEN,HOU,27,9,18
TEN,JAX,36,22,14
CIN,WAS,27,27,0
ATL,GB,33,32,1
BUF,NE,25,41,-16
CLE,NYJ,28,31,-3
HOU,DET,20,13,7
IND,KC,14,30,-16
NO,SEA,25,20,5
TB,OAK,24,30,-6
DEN,SD,27,19,8
CAR,ARI,30,20,10
DAL,PHI,29,23,6
CHI,MIN,20,10,10
TB,ATL,28,43,-15
OAK,DEN,30,20,10
BAL,PIT,21,14,7
CLE,DAL,10,35,-25
KC,JAX,19,14,5
MIA,NYJ,27,23,4
MIN,DET,16,22,-6
NYG,PHI,28,23,5
LA,CAR,10,13,-3
SF,NO,23,41,-18
GB,IND,26,31,-5
SD,TEN,43,35,8
SEA,BUF,31,25,6
BAL,CLE,28,7,21
CAR,KC,17,20,-3
JAX,HOU,21,24,-3
NO,DEN,23,25,-2
NYJ,LA,6,9,-3
PHI,ATL,24,15,9
TB,CHI,36,10,26
TEN,GB,47,25,22
WAS,MIN,26,20,6
SD,MIA,24,31,-7
ARI,SF,23,20,3
PIT,DAL,30,35,-5
NE,SEA,24,31,-7
NYG,CIN,21,20,1
CAR,NO,23,20,3
CIN,BUF,12,16,-4
CLE,PIT,9,24,-15
DAL,BAL,27,17,10
DET,JAX,26,19,7
IND,TEN,24,17,7
KC,TB,17,19,-2
MIN,ARI,30,24,6
NYG,CHI,22,16,6
LA,MIA,10,14,-4
SF,NE,17,30,-13
SEA,PHI,26,15,11
WAS,GB,42,24,18
OAK,HOU,27,20,7
DET,MIN,16,13,3
DAL,WAS,31,26,5
IND,PIT,7,28,-21
ATL,ARI,38,19,19
BAL,CIN,19,14,5
BUF,JAX,28,21,7
CHI,TEN,21,27,-6
CLE,NYG,13,27,-14
HOU,SD,13,21,-8
MIA,SF,31,24,7
NO,LA,49,21,28
TB,SEA,14,5,9
DEN,KC,27,30,-3
OAK,CAR,35,32,3
NYJ,NE,17,22,-5
PHI,GB,13,27,-14
MIN,DAL,15,17,-2
ATL,KC,28,29,-1
BAL,MIA,38,6,32
CHI,SF,26,6,20
CIN,PHI,32,14,18
GB,HOU,21,13,8
JAX,DEN,10,20,-10
NE,LA,26,10,16
NO,DET,13,28,-15
OAK,BUF,38,24,14
ARI,WAS,31,23,8
PIT,NYG,24,14,10
SD,TB,21,28,-7
SEA,CAR,40,7,33
NYJ,IND,10,41,-31
KC,OAK,21,13,8
BUF,PIT,20,27,-7
CAR,SD,28,16,12
CLE,CIN,10,23,-13
DET,CHI,20,17,3
IND,HOU,17,22,-5
JAX,MIN,16,25,-9
MIA,ARI,26,23,3
PHI,WAS,22,27,-5
TB,NO,16,11,5
TEN,DEN,13,10,3
SF,NYJ,17,23,-6
GB,SEA,38,10,28
LA,ATL,14,42,-28
NYG,DAL,10,7,3
NE,BAL,30,23,7
SEA,LA,24,3,21
NYJ,MIA,13,34,-21
BAL,PHI,27,26,1
BUF,CLE,33,13,20
CHI,GB,27,30,-3
DAL,TB,26,20,6
HOU,JAX,21,20,1
KC,TEN,17,19,-2
MIN,IND,6,34,-28
NYG,DET,17,6,11
ARI,NO,41,48,-7
ATL,SF,41,13,28
DEN,NE,3,16,-13
SD,OAK,16,19,-3
CIN,PIT,20,24,-4
WAS,CAR,15,26,-11
PHI,NYG,24,19,5
BUF,MIA,31,34,-3
CAR,ATL,16,33,-17
CHI,WAS,21,41,-20
CLE,SD,20,17,3
GB,MIN,38,25,13
JAX,TEN,38,17,21
NE,NYJ,41,3,38
NO,TB,31,24,7
OAK,IND,33,25,8
LA,SF,21,22,-1
SEA,ARI,31,34,-3
HOU,CIN,12,10,2
PIT,BAL,31,27,4
KC,DEN,33,10,23
DAL,DET,42,21,21
ATL,NO,38,32,6
CIN,BAL,27,10,17
DET,GB,24,31,-7
IND,JAX,24,20,4
MIA,NE,14,35,-21
MIN,CHI,38,10,28
NYJ,BUF,30,10,20
PHI,DAL,27,13,14
PIT,CLE,27,24,3
TB,CAR,17,16,1
TEN,HOU,24,17,7
WAS,NYG,10,19,-9
DEN,OAK,24,6,18
LA,ARI,6,44,-38
SD,KC,27,37,-10
SF,SEA,23,25,-2
